Topology,Injection Rate,Received Packets,Average Delay,Throughput
mesh_4x4,0.01,1498,11.994,1.33167
mesh_4x4,0.05,4644,1620.65,4.12711
mesh_4x4,0.1,4651,3500.51,4.13322
mesh_4x4,0.15,4672,4165.35,4.15233
mesh_4x4,0.2,4703,4401.7,4.17744
mesh_8x8,0.01,5834,24.4393,5.184
mesh_8x8,0.05,10298,3265.37,9.15611
mesh_8x8,0.1,10378,4332.32,9.22767
mesh_8x8,0.15,10495,4678.59,9.32744
mesh_8x8,0.2,10379,4911.85,9.22578
mesh_10x10,0.01,8975,33.3682,7.978
mesh_10x10,0.05,12963,3652.63,11.5196
mesh_10x10,0.1,13042,4541.67,11.5911
mesh_10x10,0.15,13005,4845.62,11.564
mesh_10x10,0.2,12792,4992.05,11.3696
butterfly,0.01,708,13.1511,0.630556
butterfly,0.05,2294,1594.2,2.04033
butterfly,0.1,2330,3587.55,2.07122
butterfly,0.15,2352,4067.93,2.09
butterfly,0.2,2293,4366.32,2.03744
baseline,0.01,708,14.4138,0.629333
baseline,0.05,2278,1695.08,2.02444
baseline,0.1,2295,3367.2,2.04122
baseline,0.15,2363,4042.27,2.09911
baseline,0.2,2383,4338.07,2.11822
omega,0.01,741,13.8475,0.657778
omega,0.05,2377,1585.58,2.11111
omega,0.1,2309,3549.02,2.05356
omega,0.15,2313,4009.7,2.05756
omega,0.2,2325,4320.07,2.06644
